District,Year,Month,Lat,Lon,Rainfall_mm,DMI,ONI,MJO_Phase,MJO_Amp
Bengaluru Urban,2001,6,12.97,77.59,7.416513070464134,0.127,-0.12,4.033333333333333,0.8460881063833334
Bengaluru Urban,2001,7,12.97,77.59,67.82458551228046,-0.14,-0.08,4.258064516129032,1.4921871870967742
Bengaluru Urban,2001,8,12.97,77.59,42.56303758174181,-0.301,-0.13,5.419354838709677,1.397106648064516
Bengaluru Urban,2001,9,12.97,77.59,151.2032305151224,-0.223,-0.19,3.0,1.2181324733333334
Bengaluru Urban,2001,10,12.97,77.59,78.6555777490139,-0.451,-0.29,5.387096774193548,1.3723289300000001
Bengaluru Urban,2001,11,12.97,77.59,14.367288202047348,-0.245,-0.35,4.4,0.9614376696666667
Bengaluru Urban,2001,12,12.97,77.59,0.9682155400514603,-0.051,-0.31,6.580645161290323,1.7203842838709678
Bengaluru Urban,2002,1,12.97,77.59,0.0,-0.142,-0.15,4.258064516129032,1.6998524758064517
Bengaluru Urban,2002,2,12.97,77.59,0.0,-0.098,0.03,5.714285714285714,1.0814431442857144
Bengaluru Urban,2002,3,12.97,77.59,0.0,0.008,0.09,3.5483870967741935,1.3025143731387099
Bengaluru Urban,2002,4,12.97,77.59,0.7127092480659485,-0.352,0.2,2.533333333333333,0.8904978936033333
Bengaluru Urban,2002,5,12.97,77.59,69.78761094808578,-0.329,0.43,5.903225806451613,2.409133551612903
Bengaluru Urban,2002,6,12.97,77.59,49.78595220297575,-0.189,0.65,3.566666666666667,1.8803833166666666
Bengaluru Urban,2002,7,12.97,77.59,21.506768979132175,-0.261,0.79,6.387096774193548,1.7221574980645162
Bengaluru Urban,2002,8,12.97,77.59,42.20119968056679,-0.208,0.86,5.67741935483871,1.4202360319354839
Bengaluru Urban,2002,9,12.97,77.59,29.33853852748871,0.286,1.01,4.433333333333334,0.7018471730000001
Bengaluru Urban,2002,10,12.97,77.59,60.34431008994579,0.405,1.21,4.129032258064516,0.8933860990322581
Bengaluru Urban,2002,11,12.97,77.59,20.931462705135345,0.096,1.31,3.566666666666667,2.25046865
Bengaluru Urban,2002,12,12.97,77.59,1.1016203165054321,-0.158,1.14,3.7096774193548385,1.8575260422580646
Bengaluru Urban,2003,1,12.97,77.59,0.0,-0.239,0.92,5.354838709677419,0.8134987815870968
Bengaluru Urban,2003,2,12.97,77.59,2.10346519947052,0.017,0.63,4.178571428571429,0.7148255028571429
Bengaluru Urban,2003,3,12.97,77.59,7.127296805381775,-0.039,0.38,3.903225806451613,1.4626752464516128
Bengaluru Urban,2003,4,12.97,77.59,38.0993047952652,-0.099,-0.04,3.8666666666666667,1.1874197433333333
Bengaluru Urban,2003,5,12.97,77.59,6.75474739074707,-0.164,-0.26,5.258064516129032,2.245336555483871
Bengaluru Urban,2003,6,12.97,77.59,75.21367600560188,0.139,-0.16,3.2666666666666666,1.65106069
Bengaluru Urban,2003,7,12.97,77.59,84.11893065273762,0.131,0.08,3.6129032258064515,0.9928557990322581
Bengaluru Urban,2003,8,12.97,77.59,129.02986772358418,0.108,0.21,3.870967741935484,0.6039936987096773
Bengaluru Urban,2003,9,12.97,77.59,72.78163275122643,-0.06,0.26,4.266666666666667,0.7902776976666667
Bengaluru Urban,2003,10,12.97,77.59,272.6392195224762,-0.243,0.29,5.419354838709677,1.2216482238709676
Bengaluru Urban,2003,11,12.97,77.59,24.853114873170853,-0.159,0.35,4.3,0.49874167021000004
Bengaluru Urban,2003,12,12.97,77.59,1.25150728225708,0.189,0.35,4.258064516129032,1.8000867477419356
Bengaluru Urban,2004,1,12.97,77.59,2.839300125837326,0.044,0.37,4.709677419354839,2.246038609677419
Bengaluru Urban,2004,2,12.97,77.59,1.3501514792442322,0.114,0.31,5.517241379310345,1.4791189124137931
Bengaluru Urban,2004,3,12.97,77.59,12.135093860328197,0.077,0.23,5.064516129032258,2.1767354612903227
Bengaluru Urban,2004,4,12.97,77.59,31.16709414124489,-0.079,0.17,3.6,1.2874256193333333
Bengaluru Urban,2004,5,12.97,77.59,191.49373369663954,-0.565,0.17,3.838709677419355,1.4382904767741935
Bengaluru Urban,2004,6,12.97,77.59,89.16636297106743,-0.384,0.28,4.533333333333333,1.0188708323333333
Bengaluru Urban,2004,7,12.97,77.59,237.84796825051308,-0.301,0.47,2.6129032258064515,1.6112249593548387
Bengaluru Urban,2004,8,12.97,77.59,75.01556849479675,-0.133,0.64,6.612903225806452,1.2484562670967743
Bengaluru Urban,2004,9,12.97,77.59,194.95602223277092,-0.106,0.7,2.1,1.4384542359999999
Bengaluru Urban,2004,10,12.97,77.59,211.33662842214108,-0.004,0.67,4.32258064516129,1.54811694
Bengaluru Urban,2004,11,12.97,77.59,25.28306555747986,-0.153,0.66,3.8666666666666667,0.558687573
Bengaluru Urban,2004,12,12.97,77.59,0.0,-0.132,0.69,4.354838709677419,0.7194164974193549
Bengaluru Urban,2005,1,12.97,77.59,1.5809392929077148,-0.124,0.64,5.67741935483871,1.203385613832258
Bengaluru Urban,2005,2,12.97,77.59,4.746661156415939,-0.56,0.58,6.821428571428571,1.5145378439285715
Bengaluru Urban,2005,3,12.97,77.59,13.959563374519348,-0.433,0.45,4.290322580645161,1.7757296806451612
Bengaluru Urban,2005,4,12.97,77.59,60.386577159166336,0.084,0.43,4.966666666666667,2.6446991
Bengaluru Urban,2005,5,12.97,77.59,129.68911550939083,-0.033,0.29,4.548387096774194,1.8156324893548388
Bengaluru Urban,2005,6,12.97,77.59,124.15045204758644,-0.176,0.11,2.966666666666667,0.7345759723333334
Bengaluru Urban,2005,7,12.97,77.59,166.4203056395054,-0.384,-0.06,2.6451612903225805,1.0290815029032259
Bengaluru Urban,2005,8,12.97,77.59,146.17107012867928,-0.345,-0.14,3.6129032258064515,0.939736100967742
Bengaluru Urban,2005,9,12.97,77.59,240.461930423975,-0.534,-0.11,5.8,1.522602815
Bengaluru Urban,2005,10,12.97,77.59,483.80151173472404,-0.436,-0.29,3.5483870967741935,1.0373357177419353
Bengaluru Urban,2005,11,12.97,77.59,77.74308159947395,-0.272,-0.57,5.7,1.0062126816666666
Bengaluru Urban,2005,12,12.97,77.59,6.645896404981613,-0.3,-0.84,3.7419354838709675,0.6440208229032258
Bengaluru Urban,2006,1,12.97,77.59,0.0,-0.135,-0.85,4.258064516129032,1.7294375064516128
Bengaluru Urban,2006,2,12.97,77.59,0.0,-0.306,-0.77,5.428571428571429,1.6995880442857143
Bengaluru Urban,2006,3,12.97,77.59,51.24834245443344,-0.226,-0.57,4.419354838709677,0.8061425020580646
Bengaluru Urban,2006,4,12.97,77.59,1.9471924602985382,-0.015,-0.37,4.833333333333333,0.9840533986666666
Bengaluru Urban,2006,5,12.97,77.59,118.68473237752914,-0.208,-0.14,5.161290322580645,1.1181375867741936
Bengaluru Urban,2006,6,12.97,77.59,112.58923375606537,-0.059,-0.03,2.433333333333333,1.1171617263333333
Bengaluru Urban,2006,7,12.97,77.59,53.088623225688934,0.04,0.1,6.096774193548387,1.0984740158064517
Bengaluru Urban,2006,8,12.97,77.59,58.21370902657509,0.229,0.3,3.838709677419355,0.9450053216129032
Bengaluru Urban,2006,9,12.97,77.59,25.18208685517311,0.428,0.54,2.9,1.5086187580000001
Bengaluru Urban,2006,10,12.97,77.59,37.25509027391672,0.577,0.77,4.645161290322581,1.7489779667580645
Bengaluru Urban,2006,11,12.97,77.59,60.401990458369255,0.501,0.94,3.6333333333333333,1.1893461453333332
Bengaluru Urban,2006,12,12.97,77.59,3.8219165802001953,0.172,0.94,3.2903225806451615,1.4631380310096773
Bengaluru Urban,2007,1,12.97,77.59,0.0,0.225,0.66,5.935483870967742,1.2701261521580645
Bengaluru Urban,2007,2,12.97,77.59,0.0,0.15,0.22,4.357142857142857,1.1186876339285714
Bengaluru Urban,2007,3,12.97,77.59,0.0,0.115,-0.12,5.645161290322581,1.321150566451613
Bengaluru Urban,2007,4,12.97,77.59,171.76484137773514,0.1,-0.32,5.133333333333334,0.8067391546666667
Bengaluru Urban,2007,5,12.97,77.59,63.72583930194378,0.27,-0.38,4.741935483870968,1.2340057027322582
Bengaluru Urban,2007,6,12.97,77.59,52.1196259111166,0.031,-0.47,3.1333333333333333,1.3529915246666666
Bengaluru Urban,2007,7,12.97,77.59,173.35185220837593,0.045,-0.56,4.193548387096774,1.3795319935483872
Bengaluru Urban,2007,8,12.97,77.59,198.11992010474205,0.237,-0.81,2.5483870967741935,0.8762567774193548
Bengaluru Urban,2007,9,12.97,77.59,232.95164348185062,0.235,-1.07,4.533333333333333,1.1761283893333332
Bengaluru Urban,2007,10,12.97,77.59,140.24102705717087,0.068,-1.34,5.419354838709677,1.2009301141935484
Bengaluru Urban,2007,11,12.97,77.59,12.665523678064346,-0.023,-1.5,5.533333333333333,1.588934237
Bengaluru Urban,2007,12,12.97,77.59,30.992979511618614,-0.227,-1.6,3.4838709677419355,2.0751771258064515
Bengaluru Urban,2008,1,12.97,77.59,0.15793898701667786,0.115,-1.64,5.193548387096774,1.8184795248387096
Bengaluru Urban,2008,2,12.97,77.59,3.9475988149642944,-0.072,-1.52,3.586206896551724,1.2379733358620688
Bengaluru Urban,2008,3,12.97,77.59,187.46855998039246,0.097,-1.29,2.870967741935484,1.8412203261290323
Bengaluru Urban,2008,4,12.97,77.59,43.27641002833843,-0.153,-1.01,4.966666666666667,0.8616907713333333
Bengaluru Urban,2008,5,12.97,77.59,49.024701818823814,0.179,-0.84,4.967741935483871,1.7237106374193547
Bengaluru Urban,2008,6,12.97,77.59,31.455676555633545,0.215,-0.61,4.666666666666667,0.953116955
Bengaluru Urban,2008,7,12.97,77.59,137.81343665719032,0.246,-0.37,2.3870967741935485,1.2312710548387096
Bengaluru Urban,2008,8,12.97,77.59,312.1420219242573,0.124,-0.23,2.3548387096774195,1.211697393548387
Bengaluru Urban,2008,9,12.97,77.59,122.4965298473835,0.086,-0.24,4.833333333333333,1.4465834003333333
Bengaluru Urban,2008,10,12.97,77.59,133.23472280800343,0.029,-0.35,3.3225806451612905,1.3736839277419355
Bengaluru Urban,2008,11,12.97,77.59,39.08664767444134,-0.128,-0.55,5.033333333333333,1.2276514546666666
Bengaluru Urban,2008,12,12.97,77.59,0.7114945948123932,-0.053,-0.73,5.870967741935484,0.8991352851612903
Bengaluru Urban,2009,1,12.97,77.59,0.0,0.031,-0.85,5.258064516129032,1.3644628538709678
Bengaluru Urban,2009,2,12.97,77.59,0.0,0.163,-0.79,5.178571428571429,0.9907292532142857
Bengaluru Urban,2009,3,12.97,77.59,2.7702905237674713,0.1,-0.61,6.096774193548387,1.1326078929032257
Bengaluru Urban,2009,4,12.97,77.59,81.40177345275879,0.126,-0.33,3.9,2.2441025066666667
Bengaluru Urban,2009,5,12.97,77.59,110.629119977355,0.257,0.01,7.225806451612903,1.0808286461290324
Bengaluru Urban,2009,6,12.97,77.59,61.91706295311451,0.1,0.28,5.866666666666666,1.4584701413333332
Bengaluru Urban,2009,7,12.97,77.59,35.49283595383167,-0.192,0.45,3.838709677419355,0.6150665787096774
Bengaluru Urban,2009,8,12.97,77.59,143.23550910502672,-0.104,0.58,2.935483870967742,1.12875141
Bengaluru Urban,2009,9,12.97,77.59,245.23290491104126,-0.103,0.71,4.033333333333333,1.6812911126666668
Bengaluru Urban,2009,10,12.97,77.59,28.598580300807953,-0.013,1.01,5.225806451612903,0.9675306593548387
Bengaluru Urban,2009,11,12.97,77.59,47.720744736492634,-0.067,1.36,3.7666666666666666,1.78102768
Bengaluru Urban,2009,12,12.97,77.59,5.887437790632248,0.16,1.56,5.096774193548387,1.2578152232258064
Bengaluru Urban,2010,1,12.97,77.59,11.192292213439941,0.294,1.5,4.967741935483871,1.289910690967742
Bengaluru Urban,2010,2,12.97,77.59,0.0,0.023,1.22,7.107142857142857,1.3009368542857143
Bengaluru Urban,2010,3,12.97,77.59,2.734866142272949,0.458,0.84,2.4516129032258065,1.229541595483871
Bengaluru Urban,2010,4,12.97,77.59,123.756662607193,0.37,0.35,4.3,0.970552031
Bengaluru Urban,2010,5,12.97,77.59,157.06261894106865,-0.029,-0.17,4.032258064516129,1.3091519658064517
Bengaluru Urban,2010,6,12.97,77.59,78.66632618010044,-0.14,-0.66,1.7666666666666666,1.285590429
Bengaluru Urban,2010,7,12.97,77.59,111.98604330420494,-0.001,-1.05,2.4193548387096775,1.663601914516129
Bengaluru Urban,2010,8,12.97,77.59,157.0608689635992,-0.061,-1.35,2.967741935483871,0.747917844516129
Bengaluru Urban,2010,9,12.97,77.59,140.96776381134987,-0.267,-1.56,2.2,0.8091414173333332
Bengaluru Urban,2010,10,12.97,77.59,121.72825993597507,-0.437,-1.64,5.032258064516129,1.3724983983870966
Bengaluru Urban,2010,11,12.97,77.59,147.18248578161,-0.495,-1.64,4.433333333333334,0.7180750344066666
Bengaluru Urban,2010,12,12.97,77.59,3.399050310254097,-0.212,-1.54,5.129032258064516,0.9818622567741935
Bengaluru Urban,2011,1,12.97,77.59,0.0,0.191,-1.31,5.967741935483871,1.5956191370967743
Bengaluru Urban,2011,2,12.97,77.59,32.16594886779785,0.241,-1.04,5.678571428571429,0.5124724357571429
Bengaluru Urban,2011,3,12.97,77.59,0.22298116981983185,0.367,-0.8,4.645161290322581,1.117857366129032
Bengaluru Urban,2011,4,12.97,77.59,208.3640992641449,0.154,-0.62,5.866666666666666,0.9413861176666667
Bengaluru Urban,2011,5,12.97,77.59,158.70099422335625,-0.089,-0.46,6.129032258064516,1.5436429977419355
Bengaluru Urban,2011,6,12.97,77.59,77.89264172315598,0.055,-0.37,3.7333333333333334,0.6791252076666666
Bengaluru Urban,2011,7,12.97,77.59,112.2547826319933,0.223,-0.43,3.7096774193548385,1.0109919648387098
Bengaluru Urban,2011,8,12.97,77.59,240.2246773019433,0.344,-0.58,2.774193548387097,1.011544473516129
Bengaluru Urban,2011,9,12.97,77.59,141.9160017967224,0.202,-0.79,3.7,0.9066917783333334
Bengaluru Urban,2011,10,12.97,77.59,148.9290493130684,0.356,-0.96,4.129032258064516,1.8293501125806453
Bengaluru Urban,2011,11,12.97,77.59,56.77061465382576,0.336,-1.02,4.033333333333333,1.4278005003333334
Bengaluru Urban,2011,12,12.97,77.59,12.211503982543945,-0.128,-0.92,4.483870967741935,1.388414425483871
Bengaluru Urban,2012,1,12.97,77.59,2.4404420852661133,0.046,-0.72,5.774193548387097,1.0838557522580645
Bengaluru Urban,2012,2,12.97,77.59,0.0,-0.078,-0.57,4.068965517241379,1.9624444827586207
Bengaluru Urban,2012,3,12.97,77.59,0.9460906311869621,0.026,-0.46,5.161290322580645,2.275805190322581
Bengaluru Urban,2012,4,12.97,77.59,52.02879726886749,-0.271,-0.36,4.733333333333333,1.392764723
Bengaluru Urban,2012,5,12.97,77.59,96.75370835512877,-0.37,-0.17,5.838709677419355,0.508314344516129
Bengaluru Urban,2012,6,12.97,77.59,24.448818005621433,0.0,0.06,3.933333333333333,1.5851710730000002
Bengaluru Urban,2012,7,12.97,77.59,82.9409688487649,0.546,0.3,3.2580645161290325,1.0006735025806452
Bengaluru Urban,2012,8,12.97,77.59,177.2913964688778,0.652,0.41,3.3548387096774195,1.4237936377419356
Bengaluru Urban,2012,9,12.97,77.59,46.191201850771904,0.453,0.41,4.366666666666666,1.1895103533333333
Bengaluru Urban,2012,10,12.97,77.59,62.034119844436646,0.11,0.31,3.064516129032258,1.05932045
Bengaluru Urban,2012,11,12.97,77.59,106.63099601864815,-0.099,0.13,4.6,0.7542804866666667
Bengaluru Urban,2012,12,12.97,77.59,24.53113156557083,0.267,-0.1,2.4516129032258065,0.8817284803225806
Bengaluru Urban,2013,1,12.97,77.59,0.0,-0.065,-0.29,6.064516129032258,1.989185853870968
Bengaluru Urban,2013,2,12.97,77.59,4.169828921556473,0.189,-0.29,3.392857142857143,1.6343154739285715
Bengaluru Urban,2013,3,12.97,77.59,0.8159101605415344,0.083,-0.21,5.225806451612903,1.208878878064516
Bengaluru Urban,2013,4,12.97,77.59,28.631004229187965,-0.297,-0.19,5.133333333333334,0.9100850366666666
Bengaluru Urban,2013,5,12.97,77.59,142.86691664159298,-0.506,-0.27,3.935483870967742,1.196817595483871
Bengaluru Urban,2013,6,12.97,77.59,157.4509856402874,-0.497,-0.34,4.366666666666666,1.2253081406666666
Bengaluru Urban,2013,7,12.97,77.59,112.46264752745628,-0.181,-0.35,3.5806451612903225,0.8870305335483871
Bengaluru Urban,2013,8,12.97,77.59,93.30543035268784,-0.194,-0.28,5.806451612903226,0.912353013548387
Bengaluru Urban,2013,9,12.97,77.59,322.9631825685501,-0.31,-0.21,3.7666666666666666,1.5937026506666667
Bengaluru Urban,2013,10,12.97,77.59,105.2925234735012,-0.168,-0.13,5.161290322580645,0.8202488128741936
Bengaluru Urban,2013,11,12.97,77.59,105.93336284160614,0.199,-0.1,3.2,0.6853039573333334
Bengaluru Urban,2013,12,12.97,77.59,3.785078525543213,0.141,-0.15,3.870967741935484,1.0410569158064515
Bengaluru Urban,2014,1,12.97,77.59,0.0,-0.101,-0.28,5.741935483870968,1.1766352048387096
Bengaluru Urban,2014,2,12.97,77.59,0.30573660135269165,-0.089,-0.32,5.857142857142857,1.4348881625
Bengaluru Urban,2014,3,12.97,77.59,2.794157087802887,-0.151,-0.14,3.6129032258064515,1.5816916796774194
Bengaluru Urban,2014,4,12.97,77.59,14.002068787813187,-0.058,0.15,5.533333333333333,1.3192271676666667
Bengaluru Urban,2014,5,12.97,77.59,83.98580203950405,-0.092,0.31,2.3225806451612905,1.4339224977419354
Bengaluru Urban,2014,6,12.97,77.59,155.71372053027153,-0.028,0.23,4.433333333333334,1.108679051
Bengaluru Urban,2014,7,12.97,77.59,73.90880966186523,-0.363,0.1,5.806451612903226,1.1528067432258065
Bengaluru Urban,2014,8,12.97,77.59,80.51417392492294,-0.372,0.11,1.7096774193548387,1.2150309538709676
Bengaluru Urban,2014,9,12.97,77.59,162.61913123726845,-0.145,0.28,4.333333333333333,0.649377995
Bengaluru Urban,2014,10,12.97,77.59,302.24725091457367,0.141,0.54,3.7096774193548385,0.9880874900000001
Bengaluru Urban,2014,11,12.97,77.59,23.717526137828827,0.009,0.71,2.933333333333333,1.4682012086666667
Bengaluru Urban,2014,12,12.97,77.59,3.7101440131664276,0.046,0.77,4.741935483870968,1.3856411206451613
Bengaluru Urban,2015,1,12.97,77.59,23.366297245025635,-0.1,0.69,6.193548387096774,1.595519382903226
Bengaluru Urban,2015,2,12.97,77.59,0.0,-0.345,0.61,6.464285714285714,0.8730502682142857
Bengaluru Urban,2015,3,12.97,77.59,36.49405610561371,-0.241,0.65,5.161290322580645,2.5235438870967744
Bengaluru Urban,2015,4,12.97,77.59,189.32852432131767,-0.008,0.81,3.466666666666667,0.9544394936666667
Bengaluru Urban,2015,5,12.97,77.59,123.08980365097523,0.24,1.02,5.096774193548387,0.7510026245161291
Bengaluru Urban,2015,6,12.97,77.59,84.17626467347145,0.296,1.25,3.433333333333333,1.9929203833333333
Bengaluru Urban,2015,7,12.97,77.59,72.97842729091644,0.225,1.57,4.451612903225806,1.837990334516129
Bengaluru Urban,2015,8,12.97,77.59,102.60361313819885,0.568,1.91,5.870967741935484,0.8428048241935484
Bengaluru Urban,2015,9,12.97,77.59,179.50237579643726,0.294,2.21,4.7,0.62977513528
Bengaluru Urban,2015,10,12.97,77.59,107.73922789096832,0.482,2.47,4.935483870967742,1.5348366948387098
Bengaluru Urban,2015,11,12.97,77.59,260.31234395504,0.347,2.64,2.6666666666666665,1.8664467500000002
Bengaluru Urban,2015,12,12.97,77.59,4.125232025980949,0.272,2.75,4.419354838709677,1.905701525483871
Bengaluru Urban,2016,1,12.97,77.59,4.853449136018753,0.265,2.63,4.548387096774194,1.397440465735484
Bengaluru Urban,2016,2,12.97,77.59,0.0,-0.11,2.28,5.586206896551724,2.0595920172413793
Bengaluru Urban,2016,3,12.97,77.59,48.17662155628204,-0.008,1.71,5.387096774193548,1.2421979758064514
Bengaluru Urban,2016,4,12.97,77.59,6.709881752729416,0.146,1.05,3.433333333333333,0.6606036036666667
Bengaluru Urban,2016,5,12.97,77.59,138.63145020604134,-0.113,0.49,2.935483870967742,1.3503781812903226
Bengaluru Urban,2016,6,12.97,77.59,226.6588693857193,-0.443,0.0,4.166666666666667,1.5598082686666668
Bengaluru Urban,2016,7,12.97,77.59,178.56434759497643,-0.757,-0.31,3.129032258064516,1.0086871877419354
Bengaluru Urban,2016,8,12.97,77.59,67.18648368120193,-0.443,-0.5,5.709677419354839,1.3634238690322582
Bengaluru Urban,2016,9,12.97,77.59,52.558296486735344,-0.437,-0.58,4.233333333333333,0.9987363606666667
Bengaluru Urban,2016,10,12.97,77.59,16.47739577293396,-0.371,-0.64,5.645161290322581,0.6798959190322581
Bengaluru Urban,2016,11,12.97,77.59,0.8721569776535034,-0.382,-0.6,4.366666666666666,1.4056047909999998
Bengaluru Urban,2016,12,12.97,77.59,77.24032136797905,-0.31,-0.45,4.451612903225806,0.6025583080645162
Bengaluru Urban,2017,1,12.97,77.59,0.2722407877445221,-0.086,-0.19,3.7096774193548385,1.2075865980645162
Bengaluru Urban,2017,2,12.97,77.59,0.0,0.101,-0.02,4.607142857142857,2.432161792857143
Bengaluru Urban,2017,3,12.97,77.59,34.3810555934906,0.357,0.18,3.6774193548387095,0.7525501162903225
Bengaluru Urban,2017,4,12.97,77.59,30.14702269434929,0.498,0.31,6.7,0.7843319514433333
Bengaluru Urban,2017,5,12.97,77.59,186.6389437764883,0.536,0.4,4.193548387096774,1.3503042366709677
Bengaluru Urban,2017,6,12.97,77.59,31.976297080516815,0.424,0.39,2.433333333333333,1.010765505
Bengaluru Urban,2017,7,12.97,77.59,46.802869349718094,0.52,0.19,3.6774193548387095,1.0194311058064516
Bengaluru Urban,2017,8,12.97,77.59,334.06410847604275,0.349,-0.07,4.193548387096774,0.560064344016129
Bengaluru Urban,2017,9,12.97,77.59,460.4427081346512,0.035,-0.34,4.233333333333333,0.5864452456666667
Bengaluru Urban,2017,10,12.97,77.59,272.43378199636936,0.015,-0.6,5.354838709677419,2.0237151622580645
Bengaluru Urban,2017,11,12.97,77.59,12.764667272567749,0.289,-0.77,4.166666666666667,0.8390316453333334
Bengaluru Urban,2017,12,12.97,77.59,16.21282720565796,0.11,-0.86,5.258064516129032,1.455329965483871
Bengaluru Urban,2018,1,12.97,77.59,0.0,-0.2,-0.77,3.5806451612903225,2.2438225967741934
Bengaluru Urban,2018,2,12.97,77.59,3.290217936038971,0.216,-0.71,5.5,2.449217742857143
Bengaluru Urban,2018,3,12.97,77.59,30.8911851644516,-0.12,-0.57,4.161290322580645,1.1359975419354837
Bengaluru Urban,2018,4,12.97,77.59,32.68560288101435,-0.083,-0.39,4.433333333333334,1.4919827436666668
Bengaluru Urban,2018,5,12.97,77.59,237.63440288603306,0.122,-0.13,3.096774193548387,1.7735262777419354
Bengaluru Urban,2018,6,12.97,77.59,86.63282749056816,0.155,0.06,3.433333333333333,1.099695321
Bengaluru Urban,2018,7,12.97,77.59,67.34215124696493,0.053,0.14,4.967741935483871,1.4670566325806451
Bengaluru Urban,2018,8,12.97,77.59,128.1761489957571,0.121,0.27,5.419354838709677,1.1604823280645162
Bengaluru Urban,2018,9,12.97,77.59,151.94050550460815,0.604,0.53,6.6,1.0746740603333333
Bengaluru Urban,2018,10,12.97,77.59,68.34962230920792,0.684,0.81,4.129032258064516,1.372201460967742
Bengaluru Urban,2018,11,12.97,77.59,23.47820608317852,0.5,0.97,4.666666666666667,1.3713922473333333
Bengaluru Urban,2018,12,12.97,77.59,7.916488885879517,0.309,0.92,3.838709677419355,2.266200470967742
Bengaluru Urban,2019,1,12.97,77.59,0.7911070585250854,0.387,0.89,5.709677419354839,1.75703085
Bengaluru Urban,2019,2,12.97,77.59,52.201879262924194,0.416,0.86,6.142857142857143,1.7487797142857142
Bengaluru Urban,2019,3,12.97,77.59,0.0,0.225,0.84,4.064516129032258,1.1146516216129032
Bengaluru Urban,2019,4,12.97,77.59,37.45769461989403,0.258,0.77,3.7333333333333334,1.0698441273333332
Bengaluru Urban,2019,5,12.97,77.59,136.0228595137596,0.54,0.64,6.096774193548387,1.854505129032258
Bengaluru Urban,2019,6,12.97,77.59,74.77973207831383,0.605,0.52,4.566666666666666,1.3048570076666666
Bengaluru Urban,2019,7,12.97,77.59,62.153563499450684,0.597,0.33,2.3548387096774195,0.8737279109677419
Bengaluru Urban,2019,8,12.97,77.59,131.57410755753517,0.436,0.19,4.129032258064516,0.9542141777419355
Bengaluru Urban,2019,9,12.97,77.59,180.8466972708702,0.892,0.23,4.5,1.6799940163333333
Bengaluru Urban,2019,10,12.97,77.59,281.7494111061096,0.964,0.39,2.6774193548387095,1.5321089774193548
Bengaluru Urban,2019,11,12.97,77.59,44.29882624745369,0.835,0.58,4.7,1.5540973666666666
Bengaluru Urban,2019,12,12.97,77.59,11.968365222215652,0.243,0.66,3.7096774193548385,0.9795201067741935
Bengaluru Urban,2020,1,12.97,77.59,0.17633050680160522,0.173,0.64,5.516129032258065,2.0013102467741937
Bengaluru Urban,2020,2,12.97,77.59,0.0,0.054,0.63,5.551724137931035,1.19141821
Bengaluru Urban,2020,3,12.97,77.59,13.515508711338043,0.019,0.53,3.7419354838709675,1.516898370967742
Bengaluru Urban,2020,4,12.97,77.59,128.12729036808014,-0.011,0.3,3.6666666666666665,1.6374265986666667
Bengaluru Urban,2020,5,12.97,77.59,90.33670887351036,0.298,0.01,4.451612903225806,1.1646890893548387
Bengaluru Urban,2020,6,12.97,77.59,111.6627830862999,0.455,-0.23,1.6,1.3547168013333333
Bengaluru Urban,2020,7,12.97,77.59,160.8680957108736,0.319,-0.36,2.0,1.5012130690322583
Bengaluru Urban,2020,8,12.97,77.59,83.82131540030241,-0.183,-0.53,4.516129032258065,1.5708076487096774
